Date,Symbol,Industry,Price
2023-05-02,3MINDIA,Diversified,22527.7
2023-05-02,AARTIDRUGS,Healthcare,425.81499999999994
2023-05-02,AARTIIND,Chemicals,552.33
2023-05-02,AAVAS,Financial Services,1545.0400000000002
2023-05-02,ABB,Capital Goods,3297.1699999999996
2023-05-02,ABBOTINDIA,Healthcare,22425.99
2023-05-02,ABCAPITAL,Financial Services,162.355
2023-05-02,ABFRL,Consumer Services,221.60999999999999
2023-05-02,ACC,Construction Materials,1745.28
2023-05-02,ADANIENT,Metals & Mining,1854.3
2023-05-02,ADANIGREEN,Power,932.2850000000001
2023-05-02,ADANIPORTS,Services,667.4649999999999
2023-05-02,ADANITRANS,Power,1005.5300000000001
2023-05-02,AEGISCHEM,Oil Gas & Consumable Fuels,392.85
2023-05-02,AFFLE,Information Technology,912.915
2023-05-02,AIAENG,Capital Goods,2738.975
2023-05-02,AJANTPHARM,Healthcare,1297.465
2023-05-02,ALKEM,Healthcare,3421.44
2023-05-02,ALKYLAMINE,Chemicals,2393.725
2023-05-02,AMARAJABAT,Automobile and Auto Components,600.13
2023-05-02,AMBER,Consumer Durables,1850.7550000000003
2023-05-02,AMBUJACEM,Construction Materials,384.78499999999997
2023-05-02,ANGELONE,Financial Services,1239.78
2023-05-02,ANURAS,Chemicals,1090.445
2023-05-02,APARINDS,Capital Goods,2775.165
2023-05-02,APLAPOLLO,Capital Goods,1215.7549999999999
2023-05-02,APLLTD,Healthcare,543.94
2023-05-02,APOLLOHOSP,Healthcare,4401.66
2023-05-02,APOLLOTYRE,Automobile and Auto Components,336.49
2023-05-02,APTUS,Financial Services,246.8
2023-05-02,ASAHIINDIA,Automobile and Auto Components,468.45500000000004
2023-05-02,ASHOKLEY,Capital Goods,140.19
2023-05-02,ASIANPAINT,Consumer Durables,2879.12
2023-05-02,ASTERDM,Healthcare,251.025
2023-05-02,ASTRAL,Capital Goods,1420.7
2023-05-02,ATGL,Oil Gas & Consumable Fuels,929.2
2023-05-02,ATUL,Chemicals,6948.255
2023-05-02,AUBANK,Financial Services,667.675
2023-05-02,AUROPHARMA,Healthcare,598.9000000000001
2023-05-02,AVANTIFEED,Fast Moving Consumer Goods,362.995
2023-05-02,AXISBANK,Financial Services,873.0050000000001
2023-05-02,BAJAJ-AUTO,Automobile and Auto Components,4340.95
2023-05-02,BAJAJFINSV,Financial Services,1338.05
2023-05-02,BAJAJHLDNG,Financial Services,6533.875
2023-05-02,BAJFINANCE,Financial Services,6050.825
2023-05-02,BALAMINES,Chemicals,2200.345
2023-05-02,BALKRISIND,Automobile and Auto Components,2066.165
2023-05-02,BALRAMCHIN,Fast Moving Consumer Goods,418.18
2023-05-02,BANDHANBNK,Financial Services,222.10500000000002
2023-05-02,BANKBARODA,Financial Services,181.88
2023-05-02,BANKINDIA,Financial Services,80.66
2023-05-02,BASF,Chemicals,2354.435
2023-05-02,BATAINDIA,Consumer Durables,1466.085
2023-05-02,BAYERCROP,Chemicals,4107.315
